asin,avg_rating,num_reviews,price,title_y,features,os,color
B01N2JS6H7,1.0,1,,"FusionTech Worktop i7559-2512BLK 15.6 Inch FHD Laptop (6th Generation Intel Core i7, 8 GB RAM, 1 TB HDD + 8 GB SSD) NVIDIA GeForce GTX 960M Bundle with Crucial 8GB 1600MHz DDR3 Memory","[Bundle includes FusionTech Worktop i7559-2512BLK 15.6 Inch FHD Laptop (6th Generation Intel Core i7, 8 GB RAM, 8 GB RAM installed + additional 8GB Module of 1600MHZ DDR3 Laptop Memory, May ship separately, 1 TB HDD + 8 GB SSD) NVIDIA GeForce GTX 960M and Crucial 8GB Single DDR3L 1600 MT/s (PC3L-12800) SODIMM 204-Pin Memory - CT102464BF160B, Available with Windows 10 Home or Windows 10 Pro]",Windows 10 Home,
B01N2RLP5M,3.0277777777777777,36,,"FusionTech ABC9560-5000SLV-PUS 15.6"" Ultra Thin and Light Laptop with 4K Touch Display, 7th Gen Core i5 ( up to 3.5 GHz), 8GB, 256GB SSD, Nvidia Gaming GTX 1050, Aluminum Chassis","[7th Generation Intel Core i5-7300HQ Quad Core Processor (6M cache, up to 3.5 GHz), 8GB DDR4-2400MHz up to 32GB (additional memory sold separately), 256GB PCIe Solid State Drive, No Optical Drive, 15.6-inch 4K Ultra HD (3840 x 2160) InfinityEdge touch display, Windows 10 Home 64bit English, NOTE: Refer the User Manual from the Technical Specification before use which is highly recommended.]",Windows 10,Silver
B06XFC44CL,4.142857142857143,49,947.99,"FusionTech Worktop i5577-7342BLK-PUS,15.6"" Gaming Laptop, (Intel Core i7,16GB,512GB SSD),NVIDIA GTX 1050","[7th Generation Intel Core i7-7700HQ Quad Core (6MB Cache, Base Frequency 2.8 GHz, Max Turbo Frequency up to 3.8 GHz), 16GB, 2400MHz, DDR4; up to 32GB (additional memory sold separately) [16G2D], 512GB Pie Solid State Drive , No Optical Drive option, 15.6-inch FHD (1920 x 1080) Anti-Glare LED-Backlit Display, Windows 10 Home 64-bit English]",Windows 10 Home,Black
B06XFG7157,3.3121387283236996,173,,"FusionTech Worktop 15 5000 5577 Gaming Laptop - (15.6"" Full HD (1920x1080), Intel Quad-Core i5-7300HQ Processor, 1TB HDD, 8GB DDR4 DRAM, NVIDIA GeForce GTX 1050 4GB VRAM, Windows 10","[7th Generation Intel Core i5-7300HQ Quad Core (6MB Cache, up to 3.5 GHz), 8GB 2400MHz DDR4 up to 32GB (additional memory sold separately), 1TB 5400 rpm Hard Drive , No Optical Drive option, 15.6-inch FHD (1920 x 1080) Anti-Glare LED-Backlit Display, NVIDIA GeForce GTX 1050]",Windows 10 Home,Black
B06XFGDD8P,3.3043478260869565,69,,"FusionTech i5577-5335BLK-PUS Worktop 15"" Full HD Gaming Laptop - 7th Gen Intel Core i5-8GB Memory - 256GB SSD - NVIDIA GeForce GTX 1050 - Black","[7th Generation Intel Core i5-7300HQ Quad Core (6MB Cache, up to 3.5 GHz), 8GB 2400MHz DDR4 up to 32GB (additional memory sold separately), 256GB Solid State Drive , No Optical Drive option, 15.6-inch FHD (1920 x 1080) Anti-Glare LED-Backlit Display, Windows 10 Home 64-bit English]",Windows 10,Black
B06XSD57RS,4.5,4,,"FusionTech Worktop 7000 Flagship Gaming Laptop 15.6"" 4K UHD Touchscreen Backlit Keyboard PC, Intel Core i7-6700HQ Quad-Core, NVIDIA GeForce GTX 960M with 4GB Memory, 12GB RAM, 1TB SSHD, Windows 10",[],Windows 10,PH-Meter 208
B06XVQF486,4.159090909090909,44,,"FusionTech i5577-7700BLK-PUS,15.6"" Full HD Gaming Laptop,(7th Gen Intel Core i7 (up to 3.8 GHz),12GB,128GB SSD+ 1TB HDD),NVIDIA GTX 1050 - Metal Chassis","[7th Generation Intel Core i7-7700HQ Quad Core (6MB Cache, up to 3.8 GHz), 12GB 2400MHz DDR4 up to 32GB (additional memory sold separately), Dual drives with 128GB Solid State Drive + 1TB 5400 rpm Hard Drive , No Optical Drive option, 15.6-inch FHD (1920 x 1080) Anti-Glare LED-Backlit Display, Windows 10 Home 64-bit English]",Windows 10,Black
B06XXLZH68,3.0,13,1465.51,"FusionTech ABC 15 9560 4K UHD Touch (3840 x 2160) 7th Gen Intel i7-7700HQ Quad Core 1TB SSD, 32GB Ram Thounderbolt NVIDIA GTX 1050 Win 10 Pro Fingerprint Reader Plus Best Notebook Stylus","[15.6-inch 4K Ultra HD (3840 x 2160) InfinityEdge touch display, 32 GB DDR4-2400MHz, No Optical Drive, 1TB PCIe Solid State Drive, 7th Generation Intel Core i7-7700HQ Quad Core Processor (6M cache, up to 3.8 GHz), NVIDIA GeForce GTX 1050 4GB DDR5 Graphics, Windows 10 Home 64bit English]",Windows 10 Home,Grey
B06ZZTXT6H,4.444444444444445,9,1480.31,"FusionTech ABC 15 9560 4K UHD Touch (3840 x 2160) 7th Gen Intel i7-7700HQ Quad Core 1TB SSD, 32GB Ram Thounderbolt NVIDIA GTX 1050 Win 10 Pro Fingerprint Reader Plus Best Notebook Stylus","[15.6-inch 4K Ultra HD (3840 x 2160) InfinityEdge touch display, 32 GB DDR4-2400MHz, No Optical Drive, 1TB PCIe Solid State Drive, 7th Generation Intel Core i7-7700HQ Quad Core Processor (6M cache, up to 3.8 GHz), NVIDIA GeForce GTX 1050 4GB DDR5 Graphics, Windows 10 Home 64bit English]",Windows 10 Home,Grey
B073VSSNZH,2.75,4,799.0,"FusionTech Worktop 15.6"" LAPTOP: INTEL CORE I5 , 8GB MEMORY,NVIDIA GEFORCE GTX 1050 TI , 256GB SOLID STATE DRIVE , BLACK","[15.6"" Full HD display "" The 1920 x 1080 resolution boasts impressive color and clarity. IPS technology for wide viewing angles. Energy-efficient LED backlight., 7th Gen Intel Core i5-7300HQ mobile processor : Smart quad-core processing performance. Intel Turbo Boost Technology delivers dynamic extra power when you need it, while increasing energy efficiency when you don't., 8GB system memory for advanced multitasking, 256GB solid state drive (SSD), NO cd/dvd drive., NVIDIA GeForce GTX 1050 Ti graphics: Backed by 4GB GDDR5 dedicated video memory for a fast, advanced GPU to fuel your games., Windows Mixed Reality Ultra Ready, Windows 10 operating system, Bluetooth 4.2, 3 USB 3.0]",Windows 10,
B073WVJJS6,5.0,4,,"FusionTech Worktop 7000 Flagship High Performance 15.6"" Full HD Gaming Laptop PC, Intel Core i5-6300HQ, NVIDIA GeForce GTX 4GB GDDR5, 16GB RAM, 256GB SSD, Backlit Keyboard, Windows 10",[],Windows 10,
B0742Y2K12,3.0,1,,"FusionTech Worktop 7000 Red 15.6"" Full HD Flagship Laptop PC, Intel Core i7-6700HQ Quad-Core, NVIDIA GeForce GTX 960M with 4GB DDR5, 16GB RAM, 1TB HDD+8GB SSD, HDMI, USB 3.0, Windows 10",[],Windows 10,
B074321XK1,5.0,2,,"FusionTech Worktop 7000 Red 15.6 inch Full HD Flagship High Performance Laptop PC, Intel Core i7-6700HQ Quad-Core, NVIDIA GeForce GTX 960M with 4GB DDR5, 16GB RAM, 1TB HDD+8GB SSD, Windows 10",[],Windows 10,
B07432ZQ9B,2.3333333333333335,3,,"FusionTech Worktop 7000 Red Flagship High Performance 15.6 inch Full HD Laptop PC, Intel Core i7-6700HQ Quad-Core, NVIDIA GeForce GTX 960M, 16GB RAM, 1TB HDD+8GB SSD, Bluetooth, WIFI, Windows 10",[],Windows 10,
B074M6WNYS,4.5,4,,"FusionTech Worktop 7000 15.6"" Full HD Gaming Laptop PC | Intel Core i7-6700HQ | NVIDIA GeForce GTX 960M 4 GB GDDR5 | 16GB RAM | 128 GB SSD + 1 TB HDD | Windows 10","[17.3"" Anti-Glare LED-Backlit FHD (1920 x 1080) Display; 4GB AMD Radeon 530 Graphics, 8th Generation Intel Core i7-8550U Processor @ 1.80GHz (4 Cores, 8MB Cache, up to 4.0GHz), 802.11 Dual Band Wireless-AC WLAN + Bluetooth 4.1; 2x USB 3.1 Gen1; 1x USB 2.0; 1x USB 3.1 Gen1 Type-C; 1x HDMI; 1x Combo Headphone/Microphone Jack, 32GB DDR4 2400MHz RAM; 512GB Solid State Drive + 2TB 5400RPM SATA Hard Drive,DVD-RW (Reads and Writes to DVD/CD), Windows 10 Professional (64-bit); Backlit Keyboard; 3-cell 42WHr Battery]",Windows 10,Silver
B075697SK2,4.2,5,1349.0,"FusionTech Worktop 15 5000 15.6"" FHD Gaming Laptop | Intel Core i7-7700HQ Quad-Core | NVIDIA GeForce GTX 1050 with 4GB GDDR5 | 16GB RAM | 512GB M.2 SSD | Backlit Keyboard | Windows 10",[],Windows 10,
B0764N2QL4,3.15,20,,"FusionTech Worktop 15 7570 Laptop - 15.6"" LED-Backlit Display - 8th Gen Intel Core i5 - 8GB Memory - 1TB Hard Drive with 8GB cache- 4GB Nvidia Geforce 940MX","[8th Generation Intel Core i5 8250U Processor (6MB Cache , up to 3.4 Giga Hertz), 8GB 2400 MegaHertz DDR4 up to [32GB], (additional memory sold separately), 1 TB 5400 RPM [Hybrid] (HDD) with 8GB Cache , No Optical Drive;The Worktop 15 7000 has up to 8 hours 56 minutes of Mobile Mark 14 battery life with DPST enabled, 15.6 inch FHD (1920 x 1080) IPS True life LED Back lit Narrow Border Display, Windows 10 Home 64 bit English]",Windows 10,Platinum Silver
B0764N2QLG,3.6666666666666665,15,,"FusionTech Worktop 15 7570 Laptop - 15.6"" LED-Backlit Display - 8th Gen Intel Core i5 - 8GB Memory - 1TB Hard Drive with 8GB cache- 4GB Nvidia Geforce 940MX","[8th Generation Intel Core i5 8250U Processor (6MB Cache , up to 3.4 Giga Hertz), 8GB 2400 MegaHertz DDR4 up to [32GB], (additional memory sold separately), 1 TB 5400 RPM [Hybrid] (HDD) with 8GB Cache , No Optical Drive;The Worktop 15 7000 has up to 8 hours 56 minutes of Mobile Mark 14 battery life with DPST enabled, 15.6 inch FHD (1920 x 1080) IPS True life LED Back lit Narrow Border Display, Windows 10 Home 64 bit English]",Windows 10,Platinum Silver
B0765M5CQP,4.0,1,,"FusionTech Worktop i7559-7000 | 15.6"" FHD | i7-6700HQ | 16GB RAM | 1TB +8GB SSD| NVIDIA GTX960M| Windows 10 64-bit",[Brand New in box. The product ships with all relevant accessories],Windows 10,Red
B076YCXGB4,1.0,1,899.0,"FusionTech Sharp 5520 M5520 FHD 1080P 15.6"" i7-7820HQ Quad Core, (up to 3.90GHz, 8MB Cache) 32GB RAM, 512GB SSD Drive NVIDIA Quadro M1200 4GB Windows 10 Pro",[],Windows 10 Pro,
B0777H788M,5.0,1,499.0,"FusionTech Worktop 7000 Flagship 15.6 inch Full HD Gaming Backlit Keyboard Laptop PC, Intel Core i7-6700HQ Quad-Core, NVIDIA GeForce GTX 960M with 4GB GDDR5, 8GB RAM, 1TB HDD + 8GB SSD, Windows 10",[],Windows 10,
B077H3889J,3.5384615384615383,13,,"FusionTech Worktop 15 7577 Laptop: Core i5-7300HQ, 256GB SSD, NVidia GTX 1060 6GB, 8GB RAM, 15.6inch Full HD Display","[UPC: 884116276265, Weight: 9.300 lbs]",Windows 10 Home,
B077TY746J,1.0,1,1549.99,FusionTech ABC 15 9560 UHD 4K Touchscreen Intel Core i5-7300HQ 8GB RAM 256GB SSD Nvidia GTX 1050 4GB GDDR5 Windows 10,"[15.6-inch 4K Ultra HD (3840 x 2160) InfinityEdge touch display, Intel Core i5-7300HQ 2.5GHz with Turbo Boost up to 3.5 GHz, 8GB DDR4, 256GB SSD, NVIDIA GeForce GTX 1050 4GB DDR5 Graphics, Windows 10 Home 64bit English, Manufacture Warranty, Silver Aluminum Chassis]",Windows 10 Home,
B078HF5868,2.0,2,,"FusionTech Worktop 15.6"" FHD Backlit Keyboard Gaming Laptop | Intel i5-7300HQ Quad-Core | NVIDIA GeForce GTX 1050 | 8G RAM | 1T + 8G HDD | Windows 10 | Windows Mixed Reality Ultra Ready",[],Windows 10,
B078SMDHND,4.25,4,,"FusionTech Worktop 15.6"" FHD Gaming Laptop | Intel i5-7300HQ Quad-Core | NVIDIA GeForce GTX 1050 | 16GB RAM | 1TB and 8GB Hybrid Hard Drive | Windows Mixed Reality Ultra Ready | Windows 10",[],Windows 10,
B078WRQ63T,4.666666666666667,3,,"FusionTech Worktop 7000 7567 15.6"" FHD Backlit Keyboard Gaming Laptop, Intel i5-7300HQ Quad-Core, 8GB DDR4, 1TB HDD + 128GB SSD, Windows 10, Windows Mixed Reality Ultra Ready, NVIDIA GeForce GTX 1050",[],Windows 10,
B079JPSJ4V,5.0,1,,"FusionTech Worktop 15 5000 15.6"" Full HD Premium Flagship Gaming Laptop | Intel Core i7-7700HQ Quad-Core | NVIDIA GeForce GTX 1050 with 4GB GDDR5 | 16GB RAM | 512G SSD + 2TB HDD | Windows 10 Home",[],,
B07B2VWB1J,4.0,1,,"Newest FusionTech Worktop 15 5000 Flagship 15.6"" FHD Gaming Laptop, Intel Core i7-7700HQ Quad-Core, NVIDIA GeForce GTX 1050 with 4GB GDDR5, 16GB RAM, 512GB SSD, Bluetooth 4.2, 802.11ac, Windows 10 Home",[],,
B07B51Q6Z3,4.5,2,,"Newest FusionTech Worktop 15 5000 High Performance Flagship 15.6"" FHD Gaming Laptop | Intel Core i7-7700HQ Quad-Core | NVIDIA GeForce GTX 1050 with 4GB GDDR5 | 32GB RAM | 512G SSD | Windows 10 Home",[],Windows 10 Home,
B07BHW8XJY,1.0,1,1249.0,"FusionTech Worktop Top Performance Gaming Laptop, 5000 Series 15.6"" FHD 1080P Screen, Intel Core i7-7700HQ, 16GB DDR4, 128GB SSD + 1TB HDD, Backlit Keyboard, NVIDIA GeForce GTX 1050 4GB DDR5, Windows 10","[7th Gen Intel Core i7-7700HQ Quad-Core 2.80 GHz (6MB Cache, up to 3.8 GHz) processor, 16GB 2400MHz DDR4 Memory, 128GB Solid State Drive (Boot) + 1TB Hard Drive, 15.6-inch FHD (1920 x 1080) Anti-Glare LED-Backlit Display, NVIDIA GeForce GTX 1050 with 4GB GDDR5, MaxxAudio Pro, 802.11ac + Bluetooth 4.2, 3 x USB 3.0, 1 x HDMI, Widescreen HD 720P Webcam with Dual digital microphone array, Windows 10 Home , 1.0"" Thin, 5.64lbs, Backlit keyboard]",Windows 10 Home,Silver
B07BXG7725,3.857142857142857,49,,"FusionTech Gaming Laptop - 15"" FHD, 8th Gen Intel Core i7-8750H CPU, 16GB RAM, 256GB SSD+1TB HDD, NVIDIA GeForce GTX 1050TI, Windows 10 Home, Black - G3579-7989BLK-PUS","[8th Generation Intel Core i7 8750H Processor (6 Core, 9MB Cache, up to 3.9 Giga Hertz w/Turbo Boost), 16GB 2666 Mega Hertz DDR4 up to 32GB, 256 GB (SSD) Boot + 1 TB 5400 RPM SATA HDD Storage, No ODD, 15.6 Inch FHD (1920 x 1080) IPS Anti Glare, LED Backlit Display, Be more productive; Windows 10 is the best for bringing ideas forward and getting things done]",Windows 10 Home,Black
B07BXWHSRW,3.5,24,,"FusionTech G3779-7934BLK-PUS Gaming Laptop 17"" LED Display - 8th Gen Intel Core i7-8750H, 8GB Memory, 128GB SSD+1TB HDD, NVIDIA GeForce GTX 1050 Ti 4GB, Black","[8th Generation Intel Core i7-8750H Processor (6-Core, 9MB Cache, up to 3.9GHz w/Turbo Boost), 8GB 2666MHz DDR4 up to 32GB, 128 GB (SSD) Boot + 1 TB 5400 RPM SATA HDD Storage, No ODD, 17.3-inch FHD (1920 x 1080) IPS Anti-Glare, LED-Backlit Display, Be more productive. Windows 10 is the best for bringing ideas forward and getting things done.Turbo Frequency:Up to 4.10 GHz]",Windows 10 Home,Black
B07C1BN591,4.0,2,,"FusionTech - 2-in-1 15.6"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce MX130 - 512GB SSD - Abyss Black","[Windows 10 Home4K Ultra HDNVIDIA GeForce MX130 2GB dedicated graphics; 8th Gen Intel® Core i7-8550U processor; 15.6"" display; 16GB memory; 512GB SSD; touch screen; HDMI output; DVD/CD drive not included]",Windows 10,
B07C716KB9,1.0,1,,"FusionTech Worktop 15 7570-15.6"" 4K Touch - i7-8550U - NVIDIA MX130-16GB - 512GB SSD","[This refurbished product is tested and certified to work properly. The product will have minor blemishes and/or light scratches. The refurbishing process includes functionality testing, basic cleaning, inspection, and repackaging. The product ships with all relevant accessories, and may arrive in a generic box.]",Windows 10,Gray
B07CD3MRZF,4.0625,64,,"FusionTech G5587-7866BLK-PUS G5 15 5587 Gaming Laptop 15.6"" LED Display, 8th Gen Intel i7 Processor, 16GB Memory, 128GB SSD+1TB HDD, NVIDIA GeForce GTX 1050Ti, Licorice Black","[8th Generation Intel Core i7-8750H Processor (6-Core, 9MB Cache, up to 3.9GHz w/Turbo Boost), 16GB 2666MHz DDR4 up to [32GB], (additional memory sold separately), 128 GB (SSD) Boot + 1 TB 5400 RPM [SATA] HDD Storage, Nvidia GeForce GTX 1050 Ti with 4GB GDDR5 Graphics memory, Be more productive. Windows 10 is the best for bringing ideas forward and getting things done.Turbo Frequency: up to 4.10 GHz, 2-In-1 SD/ Micro media card]",Windows 10 Home,Licorice Black
B07CGD1H79,3.0,3,,"FusionTech Worktop 7000 Backlit Keyboard 15.6 inch Full HD Gaming Laptop PC, Intel Core i7-6700HQ Quad-Core, NVIDIA GeForce GTX 960M, 8GB RAM, 128GB SSD (Boot) + 1TB HDD, Windows 10 Home, Black",[],Windows 10 Home,
B07CQJCZN2,1.0,1,,"FusionTech Worktop 7000 4K/UHD Flagship 15.6"" Gaming Laptop | Intel Core i7-7700HQ Quad-Core | NVIDIA GeForce GTX 1060 6GB | 32G | 512G SSD + 1T HDD | Thunderbolt Port | Backlit Keyboard | Windows 10",[],Windows 10,
B07CWHRM38,5.0,1,1288.88,"FusionTech G7 7588 15.6"" Gaming Laptop i7-8750H 16GB RAM 1TB HDD 128GB SSD GeForce GTX 1060 6GB - 8th Gen i7-8750H Hexa-core - NVIDIA GeForce GTX 1060 6GB - in-Plane Switching Technology - Windows 10 H","[Processor Manufacturer: Intel, Processor Type: Core i7, Processor Generation: 8th Gen, Processor Model: i7-8750H, Processor Speed: 2.20 GHz]",Windows 10,
B07D37XF5R,4.2,5,,"FusionTech G3579-5958BLK G3 Gaming Laptop-15 FHD, 8th Gen Intel Quad Core i5-8300H CPU, 8GB RAM, 1TB HDD, Nvidia GeForce GTX 1050, Windows 10 Home, Black","[Processor Manufacturer: Intel, Processor Type: Core i5, Processor Generation: 8th Gen, Processor Model: i5-8300H, Processor Speed: 2.30 GHz]",Windows 10 Home,Black
B07DJYHJPJ,3.0,12,,"FusionTech G5 Gaming Laptop 15.6"" Full HD 1920 x 1080 LED Display, 8th Gen 6 Core Intel i7-8750H Processor, 16GB Memory, 256GB SSD +1TB HDD, NVIDIA GeForce GTX 1050Ti, Licorice Black","[8th Generation Intel Core i7-8750H Processor (6-Core, 9MB Cache, up to 3.9GHz w/Turbo Boost), 16GB 2666MHz DDR4 up to [32GB], (additional memory sold separately) 256 GB (SSD) Boot + 1 TB 5400 RPM [SATA] HDD Storage, NVIDIA GeForce GTX 1050 Ti with 4GB GDDR5 graphics memory WiFi 5 MU-MIMO Support 2 x 2802.11AC & Bluetooth 5.0,, HDMI, 1 x Thunderbolt 3 via USB Type-C, 3 x USB 3.1 Gen 1 Type-A, 2 x Integrated Speaker/ Microphone, Backlit keyboard. Windows 10. 1 Year warranty]",Windows 10,Black
B07DKD5FW8,2.0,2,,"Newest FusionTech Worktop Flagship 15.6 inch FHD Gaming Laptop PC, Intel Core i5-7300HQ Quad-Core, NVIDIA GeForce GTX 1050 with 4GB, 8GB RAM, 128GB SSD (boot) + 1TB HDD, Bluetooth 4.2, Windows 10 Home",[],Windows 10 Home,
B07DRQ4F9B,2.5,2,,"Advance 15 R4 AW15R4-7712SLV-PUS 15.6"" Full HD Gaming Laptop (8th Generation Intel Core i7-8750H, 16GB DDR4 RAM, 256GB SSD/1TB HDD) with NVIDIA GTX 1060","[8th Generation Intel Core i7-8750H (6-Core, 2. 2 GHz), VR-ready NVIDIA GeForce GTX 1060 Graphics Card, 6 GB GDDR5, 16 GB DDR4 SDRAM, 1 TB HDD, 256 GB SSD, 15.6-inch Full HD display]",Windows 10,
B07FDJSVKQ,3.8333333333333335,6,,"FusionTech G3779-7934BLK-PUS Gaming Laptop 17"" LED Display - 8th Gen Intel Core i7-8750H, 8GB Memory, 128GB SSD+1TB HDD, NVIDIA GeForce GTX 1050 Ti 4GB, Black","[8th Generation Intel Core i7-8750H Processor (6-Core, 9MB Cache, up to 3.9GHz w/Turbo Boost), 8GB 2666MHz DDR4 up to 32GB, 128 GB (SSD) Boot + 1 TB 5400 RPM SATA HDD Storage, No ODD, 17.3-inch FHD (1920 x 1080) IPS Anti-Glare, LED-Backlit Display, Be more productive. Windows 10 is the best for bringing ideas forward and getting things done.Turbo Frequency:Up to 4.10 GHz]",Windows 10 Home,Black
B07FZFGB5V,2.933333333333333,30,1522.1700000000003,"FusionTech ABC 15 9570 15.6"" 4K UHD TouchScreen Laptop: Core i7-8750H, 32GB RAM, 1TB SSD, NVIDIA GTX 1050Ti, Backlit Keyboard, Fingerprint Reader, Windows 10","[Windows 10 Home4K Ultra HDNVIDIA GeForce GTX 1050 Ti 4GB dedicated graphics; 8th Gen Intel® Core i7-8750H processor; 15.6"" display; 32GB memory; 1TB SSD; touch screen; HDMI output; DVD/CD drive not included]",Windows 10,Silver
B07GDBMFZG,4.0,1,1399.0,"2018 FusionTech Worktop 15 5000 15.6"" FHD (1920x1080) Premium Gaming Laptop, Intel Quad Core i7-7700HQ Processor, 16GB RAM, 512GB SSD (Boot) + 1TB HDD, 4GB GDDR5 NVIDIA GTX 1050, Backlit Keyboard, Black","[Consumer Alert: Most users do not need a license to operate this wireless microphone system. Nevertheless, operating this microphone system without a license is subject to certain restrictions: the system may not cause harmful interference; it must operate at a low power level (not in excess of 50 milliwatts); and it has no protection from interference received from any other device.]",Windows 10 Home,
B07GDGVNRN,2.6,5,,"Newest FusionTech ABC 15.6"" UHD 4K LED InfinityEdge Touchscreen Premium Gaming Laptop | Core I5-7300HQ Quad Core 2.5GHz | 8GB RAM | 512GB SSD | NVIDIA GTX 1050 GPU 4GB | Backlit Keyboard | Windows 10 Home",[],Windows 10 Home,
B07GFLBNYD,3.55,20,999.0,"FusionTech G5 Gaming Notebook Computer 15.6?, Intel Core i7-8750H, Nvidia Geforce GTX 1050Ti 4GB, 8GB RAM, 1TB + 128GB SSD Storage, G5587-7037RED-PUS","[15.6-inch FHD (1920 x 1080) IPS Anti-Glare, LED-Backlit Display, Backlit Keyboard, English, 8th Generation Intel Core i7-8750H Processor (6-Core, 9MB Cache, up to 3.9GHz w/ Turbo Boost),  8GB 2666MHz DDR4 up to [32GB], 128 GB (SSD) Boot + 1 TB 5400 RPM [SATA] HDD Storage, NVIDIA GeForce GTX 1050 Ti, with 4GB GDDR5 graphics memory, No Optical Drive, 802.11ac + Bluetooth 5.0, Dual Band 2.4&5 GHz, MU-MIMO/160Mhz, 2x2,  56 Whr Battery, 4-Cell (Integrated), 1 X HDMI, 4 X USB 3.1 [3 x USB 3.1 Gen 1, 1 x USB 3.1 Gen 1 Type-C]]",Windows 10,Red
B07GQG3PSC,3.0,2,1299.0,"FusionTech Ultra Performance Flagship 7000 Series Worktop 17.3"" 2-in-1 FHD IPS Touchscreen Laptop, Intel i7-8550U, 16GB DDR4, Intel PCIe NVMe 512GB SSD + 2TB HDD, Backlit Keyboard, NVIDIA MX150, Win 10","[High quality Intel PCIe Nvme 512GB SSD + 2000 GB Hard drive, 16GB DDR4 memory; No DVD Drive]",Windows 10 Home,Silver
B07GRBN8GW,4.2631578947368425,19,,"FusionTech G5587 G5 15 5587 Laptop: Core i5-8300H Processor, 16GB RAM, NVidia GTX 1060, 256GB SSD+1TB HDD, 15.6"" Full HD",[Brand New in box. The product ships with all relevant accessories],Windows 10,Black
B07GRL3B36,3.7142857142857144,7,,"FusionTech G3 Gaming Laptop 15.6"" Full HD, Intel Core i5-9300H, NVIDIA GeForce GTX 1660 Ti 6GB, 8GB RAM, 1TB HDD Storage,Windows 10","[The powerful 9th Generation Intel Core i5-9300H Processor @ 2. 40GHz(4 Cores, 8M Cache, up to 4. 10 GHz), With ultra-low-voltage platform and quad-core, eight-way processing, provides maximum high-efficiency power to go. The Intel Turbo Boost technology delivers dynamic extra power when you need it., 15. 6-inch FHD (1920 x 1080) Anti-glare LED Backlit Non-touch Narrow Border WVA Display boasts impressive color and clarity. NVIDIA GeForce GTX 1660 Ti graphics backed by 6GB GDDR6 dedicated video memory for an ultrafast, advanced GPU to fuel your games., 8GB 2666MHz DDR4 memory for full power multitasking; 1TB HDD provides more storage space, 802. 11 Wireless-AC + Bluetooth, 1 x USB 3. 0, 2 x USB 2. 0, 1 x HDMI, Windows 10 Home 64-bit; backlit keyboard for easy typing in dim or dark locations.]",Windows 10 Home,Black
B07GSJCG9Q,3.6666666666666665,3,,"FusionTech G5 Gaming Laptop 15.6"" Full HD, Intel Core i7-8750H, NVIDIA GeForce GTX 1050 Ti 4GB, 1TB HDD + 128GB SSD Storage, 8GB RAM, G5587-7139BLK-PUS",[Brand New in box. The product ships with all relevant accessories],Windows 10 Home,Black
B07GW74B6N,3.875,16,2839.99,"FusionTech ABC 17 9710 Touchscreen Laptop, 17 inch UHD+ Display - Intel Core i9-11900H, 32GB DDR4 RAM, 1TB SSD, NVIDIA GeForce RTX 3060 6GB GDDR6, Windows 10 Pro - Platinum Silver","[Touch Screen Type :Capacitive.Aspect Ratio:16:9, Free Upgrade to Windows 11 when available (see below)., POWERFUL PERFORMANCE: 11th Generation Intel Core i7 processors and NVIDIA RTX graphics power the most intensive creative pursuits, STUNNING SCREEN: A 16:10 4-sided InfinityEdge display provides stunning edge-to-edge view. Plus, with 921k more pixels on UHD-plus, you’ll be more productive than ever, EASY ON THE EYES: Eyesafe technology built into the screen reduces harmful blue light all while maintaining vivid color, UP YOUR CREATIVE GAME: Take your creative projects to a new level with GeForce RTX 30 Series laptops delivering AI-acceleration in top creative apps, IMMERSIVE SOUND: Expand audio into an immersive 3D soundscape with our quad speaker design and Waves Nx 3D audio for speakers]",Windows 10 Pro,Silver
B07H9H44M6,4.333333333333333,6,,"FusionTech G5587 G5 15 5587 Laptop: Core i5-8300H Processor, 16GB RAM, NVidia GTX 1060, 256GB SSD+1TB HDD, 15.6"" Full HD Red","[This refurbished product is tested and certified to look and work like new. The refurbishing process includes functionality testing, basic cleaning, inspection, and repackaging. The product ships with all relevant accessories, and may arrive in a generic box]",Windows 10,Red
B07HQQZZ3N,2.8,5,768.0,"FusionTech G3 Gaming Laptop 15.6"" Full HD, Intel Core i5-8300H, NVIDIA GeForce GTX 1050 4GB, 1TB HDD, 8GB RAM, Windows 10 - Black","[15. 6"" FHD (1920 x 1080) IPS Anti-Glare LED-Backlit Display, NVIDIA GeForce GTX Ti 1050 4 GB GDDR5 SDRAM, 1 x USB 3. 1 Gen 2, 2 x SuperSpeed USB 3. 1 Type-A, 1 x HDMI 2. 0, 1 x Combo Headphone/Microphone Jack, 1 x RJ-45, 8th Generation Intel Core i5-8300H Processor (Quad-Core, 8MB Cache, 2. 3GHz Up To 4. 0GHz), 8GB DDR4 Memory, 1TB HDD, 10/100/1000 Gigabit Ethernet, 802. 11ac 1x1, Bluetooth, 2-in-1 SD Card Reader, Waves MaxxAudio Pro, HD 720p Webcam, Windows 10 Home, 56 Whr Battery, 4-Cell, 5. 57 lbs, Black]",Windows 10 Home,Black
